"Begrip","Betekenis","Verwijzing","Woordenboek",,,,,
"Gijzelsoftware","Kwaadaardige software waarbij een slachtoffer afgeperst wordt, nadat zijn digitale systeem of de bestanden erop met een code op slot zijn gezet. De aanvaller biedt de code tegen betaling aan, zodat hij er weer bij kan. Maar zelfs dat is niet zeker.",,"INFOSEC",,,,,
"Greyhat hacker","Iemand die met zijn handelen weliswaar soms ethische of juridische grenzen over gaat, maar geen kwade of criminele bedoelingen heeft, zoals een blackhat hacker.","Hacker, whitehat hacker, blackhat hacker","INFOSEC",,,,,
"Greybox test","Een penetratietest, waarbij de onderzoeker naast de toegang tot een systeem enige kennis van het systeem heeft.","Black box test","INFOSEC",,,,,
"Hack",,"Hacken","INFOSEC",,,,,
"Hacken","1. Actie om in of bij een computer, netwerk, hardware of software te komen. Als men dat ongevraagd of zonder geldige reden doet, is zo’n actie illegaal. \newline 2. Het vinden van nieuwe toepassingen. Bijvoorbeeld tijdens hackathons, workshops waarin men met kleine groepjes creatieve oplossingen probeert te vinden voor diverse problemen.",,"INFOSEC",,,,,
"Hacker","Iemand die systemen wil proberen te doorgronden puur en alleen om zijn of haar nieuwsgierigheid te bevredigen. Hackers willen graag weten hoe bepaalde zaken werken. Soms is het twijfelachtig hoe legaal bepaalde zaken zijn die een hacker uitvoert, zoals het inbreken in een computersysteem. Hacker is van oorsprong een neutrale term maar veel mensen gebruiken het woord hacker tegenwoordig om iemand mee aan te duiden die kwade bedoelingen heeft, zoals een crimineel.","Hacken, Whitehat hacker, Blackhat hacker","INFOSEC",,,,,
"Hacktivist","Persoon die digitale aanvallen uitvoert vanuit een ideologisch, niet terroristisch motief. Soms doet hij dat als lid van een groep. Hacktivist is een samentrekking van hacker en activist.",,"INFOSEC",,,,,
"Hall of Fame","Een lijst met namen van hackers die hebben meegeholpen om een informatiesysteem te beveiligen. Bijvoorbeeld door zwakke plekken in de beveiliging te vinden en die te melden bij de leverancier via coordinated vulnerability disclosure.","Wall of Fame","INFOSEC",,,,,
"Hardening","Niet gebruikte functies in hardware en software uitzetten of weghalen. En de rechten van andere functies waar mogelijk beperken. Zo verkleint men het aanvalsoppervlak en daarmee het risico van aanvallen.",,"INFOSEC",,,,,
"Hash",,"Hashing","INFOSEC",,,,,
"Hashing","Een methode om met een speciaal algoritme een unieke code te berekenen voor een bestand of een stuk tekst of andere informatie. Deze unieke code heet hash of hashwaarde en is een soort digitale vingerafdruk. SHA-2 en Bcrypt zijn veelgebruikte algoritmes. Men gebruikt bijvoorbeeld SHA-2 om te controleren of een bestand, tekst of informatie niet is aangepast.",,"INFOSEC",,,,,
"Hertest","Vervolgtest om na te gaan of de zwakke plekken die men eerder bij een penetratietest heeft gevonden, inderdaad weg zijn.",,"INFOSEC",,,,,
"Heuristic detection",,"Machine learning","INFOSEC",,,,,
"Honey token","Gegevens die een speciaal kenmerk hebben, zodat men kan nagaan wat ermee gebeurt als ze worden gestolen. Zo kan men bijvoorbeeld bij een datalek zien waar de gegevens naar toe zijn gegaan en wie daarbij betrokken waren. ",,"INFOSEC",,,,,
"Honeypot","Een computersysteem dat met opzet niet goed beveiligd is. Het doel van dit systeem is om het te laten besmetten met software die een computersysteem wil aanvallen. Daarna kan men deze software analyseren. ",,"INFOSEC",,,,,
"Host","Een apparaat dat via internet kan communiceren met een ander apparaat. Een host heeft een eigen hostnaam en IP-adres.",,"INFOSEC",,,,,
"Hostname","Een hostnaam is de naam van een digitaal systeem. Samen met het domein waar het systeem bij hoort vormt de hostnaam de unieke Fully Qualified Domain Name (FQDN). Beheerders kiezen voor veelgebruikte servers zoals websites of servers die mail versturen vaak hostnamen die makkelijk te onthouden zijn, zoals www of smtp. De FQDN is dan bijvoorbeeld www.google.nl of smtp. google.nl.",,"INFOSEC",,,,,
"HTTPS","HyperText Transfer Protocol Secure. Beheerders van websites kunnen HTTPS gebruiken om bezoekers van hun website beter te beschermen. Het zorgt ervoor dat informatie die de bezoekers op de website opzoeken of invullen en die dus verstuurd moet worden over internet, niet onderweg afgeluisterd kan worden. Bezoekers van een website kunnen een beveiligde verbinding met een website herkennen aan HTTPS in de URL (HTTPS://). De website-identiteitsknop (het hangslot) wordt in de adresbalk weergegeven zodra een bezoeker een beveiligde website bezoekt. Om de echtheid van een website te controleren moet een gebruiker naast het hangslot in de adresbalk ook kijken naar de domeinnaam. HTTPS is een uitbreiding van het HTTP-protocol.",,"INFOSEC",,,,,
"Human error","Menselijke fout. Menselijke fouten zijn een veelvoorkomende oorzaak van cybersecurity-incidenten. Er bestaan veel verschillende soorten menselijke fouten. Denk bijvoorbeeld aan nalatigheid, iets niet of verkeerd begrijpen, iets vergeten te doen, of een verkeerde handeling uitvoeren.",,"INFOSEC",,,,,
"Human Factor","Menselijke factor. Als er iets misgaat in de cybersecurity, komt dat regelmatig ook door een menselijke factor: iemand maakt een fout. Vaak heeft deze persoon zelf niet door dat hij een fout maakt.",,"INFOSEC",,,,,
"Hunting","Een veelal handmatig proces waarin men in netwerkverkeer of op digitale systemen zoekt naar sporen van aanvallen die bestaande beveiligingsmaatregelen hebben omzeild. ",,"INFOSEC",,,,,
"IACS","Industrial and Automation Control Systems. Verzameling netwerken, control systemen, SCADA systemen en andere systemen die kwetsbaar zijn voor cyberaanvallen.",,"INFOSEC",,,,,
"IAM","Afkorting van Identity en Access Management","Identity en access management","INFOSEC",,,,,
"ICS","Afkorting van Industrial Control System.","Industrial Control System","INFOSEC",,,,,
"Identificatie","Identificatie in juridische zin is het vaststellen van de identiteit van een persoon (persoonsidentificatie), of ook wel het tonen van een geaccepteerd persoonsbewijs waaruit de bevoegde instantie (bijvoorbeeld politie of douane) de identiteit van een persoon kan vaststellen.  \newline Voor het identificeren is een geldig identiteitsbewijs nodig, dan wel toereikende biometrische eigenschappen uit een databank, zoals een vingerafdruk of irisscan. Na overlijden van een persoon zijn getuigenissen van familie/bekenden en/of biometrische identificatie noodzakelijk.",,"INFOSEC",,,,,
"Identiteit","1. Die eigenschappen of karakteristieken die mensen of objecten uniek maken. \newline 2. Dat wat mensen of objecten uniek identificeerbaar maakt.",,"INFOSEC",,,,,
"Identiteitsfraude","Vorm van bedrog waarbij iets of iemand zich voordoet als iemand anders. Bijvoorbeeld spullen huren met de paspoortgegevens van iemand anders. Of iemands inloggegevens gebruiken om in te breken in een systeem.",,"INFOSEC",,,,,
"Identity broker","Bedrijf dat ervoor zorgt dat een programma of site verschillende manieren van aanmelden aanbiedt aan gebruikers. Bijvoorbeeld aanmelden met een google-account of via facebook.",,"INFOSEC",,,,,
"Identity en access management","Algemeen begrip voor twee systemen:\newline  - identificatiesystemen: wie ben je? \newline - autorisatiesystemen: wat mag je?",,"INFOSEC",,,,,
"Identity theft","Het stelen van persoonlijke data zodat men zich kan voordoen als de persoon waarop de data betrekking hebben. Zo kan een crimineel bijvoorbeeld iemands geld stelen, kan hij spullen kopen op iemands kosten, of criminele handelingen doen uit naam van die persoon.","Identiteitsfraude","INFOSEC",,,,,
"IDS","Afkorting van Intrusion Detection System","Intrusion Detection System","INFOSEC",,,,,
"IIoT","Industrial Internet of Things. Internet of Things toegepast binnen een industriële omgeving.","Internet of Things","INFOSEC",,,,,
"Incident",,"Beveiligingsincident","INFOSEC",,,,,
"Incident response","Reactie op een beveiligingsincident. Het is een (gestructureerde) aanpak op alle niveaus: operationeel, tactisch en strategisch.",,"INFOSEC",,,,,
"Indicator of compromise","Informatie die je kunt gebruiken om te kijken of iemand een aanval heeft uitgevoerd op één van je assets. De informatie bevat vaak kenmerken van een aanvaller, van een aanvalsmethode of van malware. Bijvoorbeeld, als men weet dat een bepaalde aanvaller zijn aanvallen vanuit een specifiek IP-adres uitvoert, dan kan je dat IP-adres gebruiken als indicator of compromise. Als je op je eigen digitale systemen sporen ziet van verbindingen met dat IP-adres, dan weet je dat die aanvaller misschien bij jou een aanval heeft geprobeerd uit te voeren.",,"INFOSEC",,,,,
"Industrial control system","Algemene naam voor verschillende typen controlesystemen. Bijvoorbeeld SCADA, DCS’s, PLC’s. Deze controlesystemen gebruikt men in de industrie om processen aan te sturen. Bijvoorbeeld een sluis openen of een windmolen uitzetten. ",,"INFOSEC",,,,,
"Informatiebeveiliging","Alles wat men doet om ervoor te zorgen dat men bij informatie kan komen wanneer men dat wil, dat de informatie klopt en dat de informatie niet bij anderen terecht komt. Het gaat daarbij vaak om een computersysteem, maar dat hoeft niet. Het gaat om maatregelen, procedures en processen die beveiligingsproblemen voorkomen, opsporen, onderdrukken en oplossen. Ontstaat er wel een probleem met de informatie? Dan zorgt informatiebeveiliging ervoor dat de gevolgen zoveel mogelijk beperkt worden. ",,"INFOSEC",,,,,
"Informatiebeveiligingsbeleid","Algemene regels waarmee een organisatie beveiligingsrisico’s zo klein mogelijk wil maken. Van tevoren spreekt men af hoe groot de beveiligingsrisico’s mogen zijn.",,"INFOSEC",,,,,
"Informatiediefstal","Informatie kopiëren of stelen terwijl men daarvoor geen toestemming heeft.",,"INFOSEC",,,,,
"Information Security Officer",,"Chief Information Security Officer","INFOSEC",,,,,
"Initieel risico",,"Bruto risico","INFOSEC",,,,,
"Inlogcode","Combinatie van gegevens die men nodig heeft om in een computersysteem of een ruimte te komen. Bijvoorbeeld gebruikersnaam en wachtwoord","Wachtwoord, gebruikersnaam","INFOSEC",,,,,
"Inlooptest",,"Mystery guest bezoek","INFOSEC",,,,,
"Insider Threat","Dreiging die zijn oorsprong heeft binnen de organisatie. Bijvoorbeeld doordat medewerkers, oud-medewerkers en leveranciers bij informatie kunnen komen. Of doordat zij weten hoe zaken zijn beveiligd. Er is sprake van een insider threat als zo’n medewerker, oud-medewerker of leverancier zijn positie misbruikt voor kwaadwillende activiteiten.",,"INFOSEC",,,,,
"Integriteit","1. Bij data: juiste en volledige informatie, en verwerking van informatie. \newline 2. Bij personen: de betrouwbaarheid van iemand. \newline 3. Bij systemen: hun correcte werking.",,"INFOSEC",,,,,
"Intelligence",,"inlichtingen","INFOSEC",,,,,
"Internet of Things","Apparaten die via het internet verbonden zijn en informatie kunnen uitwisselen. Bijvoorbeeld thermostaten, koelkasten en auto’s. ",,"INFOSEC",,,,,
"Internet Protocol Security","Standaardafspraken over hoe men netwerkverkeer kan beveiligen. Hiermee kan worden gecontroleerd of informatie in het verkeer niet is aangepast en kunnen anderen de informatie onderweg niet afluisteren.",,"INFOSEC",,,,,
"Intrusion","In een informatiesysteem of computernetwerk gaan, terwijl men daar geen toestemming voor heeft.",,"INFOSEC",,,,,
"Inbraak","In een informatiesysteem of computernetwerk gaan, terwijl men daar geen toestemming voor heeft.",,"INFOSEC",,,,,
"Intrusion detection","Alle data controleren die door een computernetwerk gaan of die een digitaal systeem verstuurt en ontvangt. En een waarschuwing geven als er iets niet in orde lijkt.",,"INFOSEC",,,,,
"Intrusion prevention","Alle data controleren die door een computernetwerk gaan of die een digitaal systeem verstuurt en ontvangt. En deze data tegenhouden als er iets niet in orde lijkt.",,"INFOSEC",,,,,
"IoC","Afkorting van Indicator of Compromise","Indicator of compromise","INFOSEC",,,,,
"IoT","Afkorting van Internet of Things","Internet of Things","INFOSEC",,,,,
"IP-adres","Internet Protocol adres. Adres dat de bron of bestemming van verkeer op Internet aangeeft.",,"INFOSEC",,,,,
"IPS","Afkorting van Intrusion Prevention System. Een geautomatiseerd systeem dat intrusion prevention doet.",,"INFOSEC",,,,,
"IPSEC","Afkorting van Internet Protocol Security.","Internet Protocol Security","INFOSEC",,,,,
"IPv4","Internet Protocol versie 4. IPv4 maakt communicatie van data tussen ICT-systemen  binnen een netwerk, zoals internet, mogelijk. De standaard bepaalt dat ieder ICT-systeem binnen het netwerk een uniek nummer (IPv4-adres zoals 192.168.1.2) heeft. Hier - door kunnen ICT-systemen elkaar herkennen en onder - ling data uitwisselen. IPv4 heeft ongeveer 4 miljard unieke IP-adressen, die bijna allemaal in gebruik zijn. De opvolger van IPv4 is IPv6, maar IPv4 wordt op dit moment nog het meest gebruikt.",,"INFOSEC",,,,,
"IPv6","Internet Protocol versie 6. IPv6 maakt communicatie van data tussen ICT-syste - men binnen een netwerk, zoals internet, mogelijk. De standaard bepaalt dat ieder ICT-systeem binnen het netwerk een uniek nummer (IPv6-adres zoals 2002:4aab:3490:0000:00 00:b93f:0481:2289) heeft. Hierdoor kunnen ICT-syste - men elkaar herkennen en onderling data uitwisselen. IPv6 heeft een veel grotere hoeveelheid beschikbare IP-adressen ten opzichte van de voorganger IPv4. Dit maakt verdere groei en innovatie van het internet mogelijk. IPv4 wordt nog steeds meer gebruikt dan IPv6.",,"INFOSEC",,,,,
"ISAC","Afkorting van Information Sharing and Analysis Centre. Overleg over cybersecurity dat regelmatig plaatsvindt. Tijdens dit overleg delen organisaties uit dezelfde sector gevoelige informatie over beveiligingsincidenten, dreigingen, zwakke plekken en maatregelen op het gebied van cybersecurity. Doel hiervan is dat de organisaties van elkaar leren.",,"INFOSEC",,,,,
"ISMS","Afkorting van Information Security Management System. Managementsysteem voor de
beveiliging van informatie.
Met dit systeem bewaakt
men het proces van informatiebeveiliging.",,"INFOSEC",,,,,
"ISO","1. Information Security Officer. \newline  2. Internationale set afspraken waar iets aan moet voldoen. De internationale afspraken voor informatiebeveiliging is de reeks ISO 2700x. \newline 3. International Organization for Standardization.","Chief Information Security Officer","INFOSEC",,,,,
"ISO/IEC 27000 serie","Aantal ISO-normen waarin staat hoe een organisatie informatie goed kan beveiligen. In de normen staat hoe een organisatie beveiligingsmaatregelen kan vaststellen, invoeren, uitvoeren beoordelen en bijhouden. De bedrijfsrisico’s bepalen aan welke normen een organisatie wil of moet voldoen. Voorbeelden: ISO 27001 en 27002.","ISO/IEC 27000 serie","INFOSEC",,,,,
"ISO-27001",,"ISO/IEC 27000 serie","INFOSEC",,,,,
27001,,"ISO/IEC 27000 serie","INFOSEC",,,,,
"Jamming","Het verstoren van draadloze signalen zoals bijvoorbeeld WiFi.",,"INFOSEC",,,,,
"Key risk","Belangrijkste risico. De Key risk stelt men vast als men alle risico’s heeft geanalyseerd.",,"INFOSEC",,,,,
"Keylogger","Software die kan bijhouden en vastleggen wat iemand op een toetsenbord typt. Aanvallers gebruiken zo’n programma vaak om wachtwoorden of creditcardgegevens te stelen.",,"INFOSEC",,,,,
"Known unknown","Een bekend risico, dat wil zeggen een risico waarvan men weet dat het bestaat. Er zijn grofweg twee typen bekende risico’s. Van sommige bekende risco’s weet men hoe vaak ze voorkomen en welke consequenties ze hebben. Deze risico’s zijn goed te voorspellen en te behandelen. Van andere bekende risico’s weten we alleen dat ze kunnen optreden, maar kunnen we niet goed voorzien hoe, en wanneer. ",,"INFOSEC",,,,,
"Kritieke infrastructuur","Die diensten, producten of onderdelen van de infrastructuur van een land die essentieel zijn. Worden deze onderdelen uitgeschakeld, of vallen ze uit? Dan is de kans op economische en/of maatschappelijke ontwrichting groot.",,"INFOSEC",,,,,
"Kroonjuwelen","Informatie en informatiesystemen die het allerbelangrijkst zijn voor een organisatie. Het heeft grote gevolgen voor de organisatie als men niet meer bij deze informatie kan komen wanneer men dat wil. Of als de informatie niet meer klopt, of als die ongewild bij anderen terechtkomt. ",,"INFOSEC",,,,,
"Kunstmatige intelligentie","Technologie waarbij digitale systemen reageren op data, bijvoorbeeld afkomstig uit sensoren, en op basis daarvan zelfstandig acties ondernemen.",,"INFOSEC",,,,,
"Kwantumcomputer","Computer die informatie opslaat en bewerkt door de eigenschappen te gebruiken van deeltjes die nog kleiner zijn dan een atoom. De kwantumcomputer kan heel veel sneller rekenen dan gewone computers. Hierdoor kan een kwantumcomputer bijvoorbeeld gemakkelijk beveiligingscodes kraken en zijn er in de toekomst daardoor nieuwe manieren van beveiliging nodig.",,"INFOSEC",,,,,
"Kwetsbaarhedenscan",,"Vulnerability scan","INFOSEC",,,,,
"Kwetsbaarheid","Fout in een digitaal systeem waardoor een aanvaller in het systeem kan komen. De aanvaller kan vervolgens bij informatie of toepassingen in het systeem komen, terwijl hij dat niet mag. Of de aanvaller zorgt ervoor dat de gebruiker niet meer bij deze informatie kan komen. Of de toepassing niet meer kan gebruiken.",,"INFOSEC",,,,,
"Lateral Movement","Technieken die aanvallers gebruiken om geleidelijk door een netwerk te bewegen. Terwijl ze door het netwerk bewegen, zoeken ze naar informatie.",,"INFOSEC",,,,,
"Lawful hacking","Het toestaan van hacken door politie en justitie voor opsporingsdoeleinden, onder strikte juridische voorwaarden. Dit kan gaan om het ontsleutelen van versleutelde informatie, het gebruiken van backdoors, het gebruiken van bekende vulnerabilities etc.",,"INFOSEC",,,,,
"Least Privilege","Uitgangspunt dat iemand zo min mogelijk bij informatie en systemen kan. Degene kan alleen bij informatie en systemen die hij of zij nodig heeft voor het werk.",,"INFOSEC",,,,,
"Legacy",,"Legacy systemen","INFOSEC",,,,,
"Legacy systemen","Verouderde software of systemen die nog steeds
gebruikt worden maar niet
meer onderhouden worden
door de leverancier of ontwikkelaar. De beveiliging
van deze systemen is vaak
verouderd en bevat vaak
bekende gebreken.",,"INFOSEC",,,,,
"Local Privilege Escalation","Zichzelf meer rechten geven op een computersysteem. Men doet dat via een hack of een bug in het systeem.",,"INFOSEC",,,,,
"Log","Een digitaal logboek. Bestand waarin een digitaal systeem automatisch veranderingen en gebeurtenissen bijhoudt. ","Auditlog","INFOSEC",,,,,
"LPE","Afkorting van Local Privilege Escalation.","Local Privilege Escalation","INFOSEC",,,,,
"M2M","Machine-to-machine. Uitwisseling van informatie tussen machines onderling.",,"INFOSEC",,,,,
"Machine Learning","Ontwikkeling van technieken waarmee computers kunnen leren.",,"INFOSEC",,,,,
"Malvertising","Het verspreiden van malware door die aan te bieden aan een een advertentiebemiddelaar. Zo worden grote groepen gebruikers besmet via een legitieme website.",,"INFOSEC",,,,,
"Malware","Kwaadaardige software die aanvallers op een digitaal systeem zetten om er op afstand bij te kunnen, het te vernielen of informatie te stelen. Malware is een samentrekking van het Engelse malicious software.",,"INFOSEC",,,,,
"Man-in-the-middle","Een aanval waarbij een
aanvaller informatie van
twee partijen onvangt en
doorstuurt. Bijvoorbeeld
twee bedrijven. De partijen
denken allebei dat ze de
informatie direct naar elkaar versturen maar dat is
niet zo. De aanvaller kan op
deze manier de informatie
afluisteren, maar ook veranderen.",,"INFOSEC",,,,,
"Managed security","Continue beveiligingsdiensten die een managed security service provider levert aan een klant. Bijvoorbeeld managed firewalls, managed endpoint protection, etc.",,"INFOSEC",,,,,
"Managed security provider",,"Managed security service provider","INFOSEC",,,,,
"Managed security service provider","Gespecialiseerd bedrijf dat continue beveiligingsdiensten levert aan een klant. Bijvoorbeeld managed firewalls, managed endpoint protection, etc.","Managed security","INFOSEC",,,,,
"MDM","Afkorting van Mobile Device Management","Mobile Device Management","INFOSEC",,,,,
"Meerfactor authenticatie","Methode om vast te stellen of een gebruiker of digitaal systeem wel is wie of wat hij zegt te zijn. Je gebruikt hiervoor verschillende manieren. Bijvoorbeeld een wachtwoord en een code die de gebruiker per sms krijgt. Of een combinatie van een vingerafdruk en een wachtwoord. ","Authenticatie","INFOSEC",,,,,
"Meldplicht","Wettelijke plicht om een melding te doen als er iets misgaat met de beveiliging van een digitaal systeem, proces of organisatie. Bijvoorbeeld een groot datalek moet men melden bij de Autoriteit Persoonsgegevens.",,"INFOSEC",,,,,
"Metadata","Gegevens die de eigenschappen van andere gegevens beschrijven. Bijvoorbeeld van wie de gegevens zijn, of wie ze verstuurd heeft, of wanneer ze voor het laatst gewijzigd zijn.",,"INFOSEC",,,,,
"MFA","Afkorting van Meer Factor Authenticatie of Multi Factor Authenticatie","Meerfactor authenticatie","INFOSEC",,,,,
"Mitigatie","Schade als gevolg van een beveiligingsincident verminderen. Of beveiligingsrisico’s verkleinen om zo incidenten te voorkomen.","Risico","INFOSEC",,,,,
"Mitigerende maatregel","Een activiteit met als doel om de oorzaak of het gevolg van een ongewenste gebeurtenis weg te nemen, of te verkleinen.",,"INFOSEC",,,,,
"Mobile Device Management","Zorgen dat mobiele apparaten in een organisatie goed beheerd en beveiligd worden. Bijvoorbeeld smartphones en tablets. Beveiliging hoort daar ook bij. Zoals een pincode instellen voor apparaten. Of zorgen dat men op afstand gegevens op deze apparaten kan wissen.",,"INFOSEC",,,,,
"Money Mule","Iemand die zijn bankrekening en/of pinpas uitleent aan criminelen. Criminelen gebruiken de bankrekening om er geld op te laten storten dat ze hebben gestolen door oplichting. Wordt ook wel geldezel genoemd.",,"INFOSEC",,,,,
"Monitoring","Continu bewaken van een computer of digitaal netwerk. Bijvoorbeeld of het nog helemaal goed werkt, of er fouten voorkomen, enzovoort.","Security Monitoring","INFOSEC",,,,,
"MSP","Afkorting van Managed Security Provider","Managed security provider","INFOSEC",,,,,
"MSSP","Afkorting van Managed Security Service Provider","Managed security provider","INFOSEC",,,,,
"Mystery guest bezoek","Beveiligingstest waarbij een daartoe aangewezen persoon op bezoek gaat bij een organisatie. Daar probeert hij in ruimtes te komen waar hij niet mag komen. En hij probeert bij informatie te komen waar hij niet bij mag komen. Zo test een deze persoon deze organisatie. Men kan deze test combineren met een penetratietest. Bij deze test gaat de mystery guest een beveiligde ruimte in. Daar probeert hij in te breken op het lokale computernetwerk. ","Penetratietest","INFOSEC",,,,,
"NAT","Afkorting van Network Address Translation","Network Address Translation","INFOSEC",,,,,
"NCSC","Nationaal Cyber Security Centrum. Onderdeel van het ministerie van Justitie en Veiligheid. In dit centrum komt alle informatie over cyberveiligheid samen. Het centrum werkt voor de Rijksoverheid en voor processen die het belangrijkst zijn in Nederland. Bijvoorbeeld elektriciteit, toegang tot schoon drinkwater. ",,"INFOSEC",,,,,
"Need-to-know principe","Uitgangspunt dat iemand alleen de informatie krijgt die nodig is om een bepaalde taak of opdracht uit te voeren. Ook als degene vanuit zijn functie eigenlijk meer informatie zou mogen zien. Dit wordt vaak gedaan bij erg gevoelige informatie. ",,"INFOSEC",,,,,
"Negligible risk","Verwaarloosbaar risico. Risico waarvan de kans, de consequenties, of beiden zo klein is, dat het verwaarloosd kan worden. De kosten van mitigatie wegen dan niet op tegen de baten.",,"INFOSEC",,,,,
"Nepnieuws","Nieuws dat niet waar is. Het doel van nepnieuws is dat men de mening van de ontvangers ervan beïnvloedt.",,"INFOSEC",,,,,
"Netto risico","Beveiligingsrisico van een systeem. Men kijkt hierbij ook naar de beveiligingsmaatregelen die er nu al zijn. ",,"INFOSEC",,,,,
"Netwerk probe",,"Netwerk sensor","INFOSEC",,,,,
"Netwerkbeveiliging","De set van technische maatregelen die wordt genomen om een computernetwerk zo goed mogelijk te beveiligen. Voorbeelden zijn: firewalls, endpoint protectie, IDS, IPS, etc.",,"INFOSEC",,,,,
"Netwerksegmentatie","Het onderverdelen van een fysiek computernetwerk in verschillende logische onderdelen die van elkaar afgeschermd kunnen worden. Op elk netwerksegment kunnen verschillende beveiligingsmaatregelen worden toegepast. Zo krijgt een aanvaller die in een bepaald netwerksegment is gekomen, niet automatisch toegang tot andere (kwetsbare) delen in het computernetwerk. ",,"INFOSEC",,,,,
"Netwerksensor","Systeem dat precies kan aflezen welke informatie over de beveiliging.
een netwerk gaat. Het systeem kan deze informatie
onderzoeken, en uitzoeken
of er een probleem is met",,"INFOSEC",,,,,
"Netwerk toegangsbeheer","Manier om het een netwerk beter te beveiligen. Dit gebeurt door alleen bekende en geautoriseerde apparaten op het netwerk toe te laten.",,"INFOSEC",,,,,
"Netwerk access control",,"Netwerktoegangsbeheer","INFOSEC",,,,,
"Network security",,"Netwerkbeveiliging","INFOSEC",,,,,
"Niet persoonsgebonden account","Account dat niet bij een bepaalde persoon hoort. Er zijn 2 soorten: \newline 1. Een non-interactive NPA wordt gebruikt door systeemfuncties en kan niet gebruikt worden door een eindgebruiker om in te loggen. \newline 2. interactieve NPA. Dit is vaak een gedeeld account voor bepaalde beheertaken. Meerdere personen kunnen dit account gebruiken.",,"INFOSEC",,,,,
"NIS-directive",,"WBNI","INFOSEC",,,,,
"NIST Cybersecurity Framework","Algemene regels van het National Institute for Standards and Technology (NIST) uit de Verenigde Staten. De regels geven aan wat organisaties beter kunnen doen om cyberaanvallen te voorkomen en op te sporen. En hoe ze er beter op kunnen reageren.",,"INFOSEC",,,,,
"NOC","Afkorting van Network Operations Centre. Een of meer plekken
vanwaar men een netwerk
bewaakt en eventueel beheert. Men bewaakt een
netwerk door te controleren
hoe stabiel netwerkverbindingen en servers zijn. En
hoeveel data er doorheen
gaan. Men beheert een
netwerk door in te loggen
op servers en andere onderdelen van het netwerk.
Zo nodig doet men dat op
Afstand.",,"INFOSEC",,,,,
"Non-repudiation",,"Onweerlegbaarheid","INFOSEC",,,,,
"Non-state actor","Niet-statelijke actor. Vaak gebruikt om alle actoren aan te duiden die niet optreden voor of namens een staat. Term wordt veel gebruikt in geopolitieke discussies over cybersecurity, en in debatten rondom nationale veiligheid.",,"INFOSEC",,,,,
"Notice and take-down","Procedure voor website-eigenaren en netwerkbeheerders. Zij verwijderen content van internet wanneer die door een rechtbank als illegaal is bestempeld, of wanneer daar een verdenking van is. Wordt veel gebruikt in het licht van schendingen van het auteursrecht.",,"INFOSEC",,,,,
"NPA","Afkorting van: Niet Persoonsgebonden Account","Niet Persoonsgebonden Account","INFOSEC",,,,,
"Obfuscation","Iets verhullen om het anderen moeilijk te maken. Beveiligers kunnen bijvoorbeeld systemen of informatie verhullen om het aanvallers moeilijk te maken. Aanvallers verhullen bijvoorbeeld vaak de broncode in hun malware om het beveiligers moeilijk te maken.",,"INFOSEC",,,,,
"Ontsleutelen","Versleutelde informatie leesbaar maken. Bijvoorbeeld een versleuteld tekstbestand of netwerkverkeer. Dit wordt gedaan met één of twee sleutels: symmetrische of asymmetrische versleuteling. De informatie die onleesbaar is gemaakt door de zender, maakt de ontvanger weer leesbaar met behulp van de sleutel(s). Men versleutelt informatie bijvoorbeeld om deze veilig te versturen. Of bijvoorbeeld om vast te stellen dat een bericht ook echt komt van degene die zegt dat hij het heeft verstuurd.","Cryptografie, versleutelen","INFOSEC",,,,,
"Onweerlegbaarheid","Een bericht is onweerlegbaar als de verzender niet kan ontkennen dat hij het bericht heeft verstuurd. De ontvanger kan niet ontkennen dat hij het bericht heeft ontvangen.","Cryptografie","INFOSEC",,,,,
"Open Source","Open source (letterlijk vertaald: open bron) beschrijft de praktijk die in productie en ontwikkeling vrije toegang geeft tot de bronmaterialen (de source) van het eindproduct. \newline Voordat de term open source algemeen in gebruik werd genomen, was er een breed scala aan uitdrukkingen om het concept te beschrijven. Het dankt zijn huidige populariteit mede aan het toenemende gebruik van internet, het mogelijk maken van diverse productiemodellen, manieren om communicatie te bedrijven en interactieve gemeenschappen. De bekendste vorm is opensourcesoftware. \newline Het opensourcemodel staat toe dat verschillende agenda\\'s en productiebenaderingen tegelijk worden gebruikt, in tegenstelling tot de meer gecentraliseerde ontwikkelmodellen die meestal gebruikt worden voor propriëtaire software. De samenwerkende ontwikkelaars kunnen daarbij behoorlijk zelfstandig werken, zonder te veel centrale sturing. Hierbij komen eindproducten en de daaraan ten grondslag liggende basismaterialen (bijvoorbeeld ontwerpen, beschrijvende documentatie en dergelijke), vrij ter beschikking voor het publiek.",,"INFOSEC",,,,,
"Open source intelligence","Inlichtingen verzamelen over een onderwerp door bronnen te gebruiken die voor iedereen toegankelijk zijn.",,"INFOSEC",,,,,
"Operational Technologt","Automatisering van een productieomgeving. Bijvoorbeeld robots en machines. Hierbij is het vooral belangrijk dat men bij informatie kan wanneer men dat wil, en dat de informatie klopt. Deze twee dingen zijn bij operational technology belangrijker dan vertrouwelijkheid: dat alleen die mensen de informatie krijgen voor wie die bedoeld was. ",,"INFOSEC",,,,,
"OSCP","Offensive Security Certified Professional. Diploma voor pentesters. Het examen duurt 24 uur. In deze tijd moet de tester verschillende soorten systemen hacken.",,"INFOSEC",,,,,
